id,speaker,headline,month_filmed,year_filmed,event,duration,date_published,views_as_of_06162017
506,Nathaniel Kahn,"Scenes from ""My Architect""",2,2002,TED2002,0:10:27,4/6/2009,335306
507,Bruce Bueno de Mesquita,A prediction for the future of Iran,2,2009,TED2009,0:19:05,4/7/2009,729930
509,Bonnie Bassler,"How bacteria ""talk""",2,2009,TED2009,0:18:14,4/8/2009,2159718
510,Emily Levine,A theory of everything,2,2002,TED2002,0:22:52,4/9/2009,1998293
511,Renny Gleeson,Our antisocial phone tricks,2,2009,TED2009,0:03:46,4/10/2009,1185368
512,Shai Agassi,A new ecosystem for electric cars,2,2009,TED2009,0:18:06,4/13/2009,1128864
515,Gregory Stock,To upgrade is human,2,2003,TED2003,0:17:51,4/14/2009,492231
516,JoAnn Kuchera-Morin,Stunning data visualization in the AlloSphere,2,2009,TED2009,0:06:27,4/15/2009,622900
517,Tim Ferriss,"Smash fear, learn anything",12,2008,EG 2008,0:16:25,4/15/2009,2503002
518,Matthew Childs,9 life lessons from rock climbing,2,2009,TED2009,0:04:48,4/17/2009,721671
519,Margaret Wertheim,The beautiful math of coral,2,2009,TED2009,0:15:33,4/20/2009,1256083
520,Niels Diffrient,Rethinking the way we sit down,2,2002,TED2002,0:17:20,4/21/2009,549938
521,Nate Silver,Does racism affect how you vote?,2,2009,TED2009,0:09:16,4/22/2009,421858
523,Erik Hersman,Reporting crisis via texting,2,2009,TED2009,0:03:56,4/22/2009,398727
524,Ben Katchor,Comics of bygone New York,2,2002,TED2002,0:11:11,4/22/2009,291071
525,Alex Tabarrok,How ideas trump crises,2,2009,TED2009,0:14:33,4/27/2009,739849
526,Michael Merzenich,Growing evidence of brain plasticity,2,2004,TED2004,0:23:07,4/28/2009,1214357
527,Sarah Jones,A one-woman global village,2,2009,TED2009,0:21:00,4/29/2009,1536685
529,Laurie Garrett,Lessons from the 1918 flu,3,2007,TED2007,0:21:05,4/30/2009,420052
531,Brian Cox,What went wrong at the LHC,2,2009,TED2009,0:03:29,5/1/2009,934763
532,Sean Gourley,The mathematics of war,2,2009,TED2009,0:07:19,5/4/2009,901180
533,Mae Jemison,Teach arts and sciences together,2,2002,TED2002,0:14:48,5/5/2009,725756
534,Tom Shannon,Anti-gravity sculpture,2,2003,TED2003,0:11:55,5/5/2009,1058243
535,Al Gore,What comes after An Inconvenient Truth?,2,2009,TED2009,0:07:44,5/7/2009,762540
537,Louise Fresco,We need to feed the whole world,2,2009,TED2009,0:18:00,5/7/2009,907192
538,Seth Godin,The tribes we lead,2,2009,TED2009,0:17:29,5/10/2009,1943317
540,Hans Rosling,"Insights on HIV, in stunning data visuals",2,2009,TED2009,0:10:02,5/13/2009,887145
541,Eric Lewis,Chaos and harmony on piano,2,2009,TED2009,0:04:54,5/12/2009,389383
544,Naturally 7,A full-band beatbox,2,2009,TED2009,0:03:56,5/15/2009,1463827
545,Nandan Nilekani,Ideas for India's future,2,2009,TED2009,0:15:19,5/14/2009,778578
547,Ray Anderson,The business logic of sustainability,2,2009,TED2009,0:15:54,5/18/2009,864719
548,Dan Ariely,Are we in control of our own decisions?,12,2008,EG 2008,0:17:26,5/19/2009,4791841
549,Mary Roach,10 things you didn't know about orgasm,2,2009,TED2009,0:16:43,5/20/2009,21902550
551,Carolyn Porco,Could a Saturn moon harbor life?,2,2009,TED2009,0:03:29,5/21/2009,862240
552,Yves Behar,A supercharged motorcycle design,2,2009,TED2009,0:02:23,5/22/2009,553345
553,Joachim de Posada,Don't eat the marshmallow!,2,2009,TED2009,0:05:58,5/25/2009,2512717
554,Jay Walker,The world's English mania,2,2009,TED2009,0:04:34,5/27/2009,4240810
555,Michelle Obama,A plea for education,4,2009,Elizabeth G. Anderson School,0:12:29,5/27/2009,1006531
556,Jonathan Drori,Why we're storing billions of seeds,2,2009,TED2009,0:06:34,5/28/2009,546957
557,Kaki King,"Playing ""Pink Noise"" on guitar",2,2008,TED2008,0:14:49,5/29/2009,1042079
558,Liz Coleman,A call to reinvent liberal arts education,2,2009,TED2009,0:18:38,6/1/2009,581827
560,Ray Kurzweil,A university for the coming singularity,2,2009,TED2009,0:08:47,6/2/2009,891283
561,Yann Arthus-Bertrand,A wide-angle view of fragile Earth,2,2009,TED2009,0:14:54,6/3/2009,737888
562,Felix Dennis,Odes to vice and consequences,2,2004,TED2004,0:17:24,6/5/2009,293888
563,Pete Alcorn,The world in 2200,2,2009,TED2009,0:03:50,6/8/2009,489564
565,Kevin Surace,Eco-friendly drywall,2,2009,TED2009,0:03:19,6/9/2009,348414
566,John La Grou,A plug for smart power outlets,2,2009,TED2009,0:04:12,6/9/2009,599678
570,Nancy Etcoff,Happiness and its surprises,2,2004,TED2004,0:19:45,6/10/2009,1544880
571,Robert Full,Learning from the gecko's tail,2,2009,TED2009,0:11:54,6/11/2009,661040
572,Richard St. John,Success is a continuous journey,2,2009,TED2009,0:03:57,6/12/2009,3559973
573,Jane Poynter,Life in Biosphere 2,3,2009,TEDxUSC,0:15:53,6/15/2009,817423
575,Clay Shirky,How social media can make history,6,2009,TED@State,0:15:48,6/16/2009,1663219
578,Diane Benscoter,How cults rewire the brain,2,2009,TED2009,0:06:24,6/17/2009,1067281
580,Catherine Mohr,"Surgery's past, present and robotic future",2,2009,TED2009,0:18:55,6/18/2009,670487
581,Qi Zhang,An electrifying organ performance,3,2009,TEDxUSC,0:03:05,6/19/2009,799640
582,Philip Zimbardo,The psychology of time,2,2009,TED2009,0:06:34,6/22/2009,1536706
584,Paul Collier,New rules for rebuilding a broken nation,6,2009,TED@State,0:16:34,6/24/2009,401486
585,Katherine Fulton,You are the future of philanthropy,3,2007,TED2007,0:12:34,6/25/2009,432437
586,Ray Zahab,My trek to the South Pole,2,2009,TED2009,0:05:53,6/26/2009,306149
587,Arthur Benjamin,Teach statistics before calculus!,2,2009,TED2009,0:02:58,6/29/2009,2114562
588,Gever Tulley,Life lessons through tinkering,2,2009,TED2009,0:04:05,6/30/2009,1125978
