Year,Tm,Lg,G,W,L,Ties,WL,pythWL,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,TopPlayer,Managers,current
2012,Los Angeles Angels of Anaheim,AL West,162,89,73,0,0.549,0.542,3rd of 4,5,,767,699,"3,061,770",28.8,30.1,M.Trout (10.8),M.Scioscia (89-73),Los Angeles Angels of Anaheim
2011,Los Angeles Angels of Anaheim,AL West,162,86,76,0,0.531,0.524,2nd of 4,10,,667,633,"3,166,321",28.9,28.4,J.Weaver (7.0),M.Scioscia (86-76),Los Angeles Angels of Anaheim
2010,Los Angeles Angels of Anaheim,AL West,162,80,82,0,0.494,0.486,3rd of 4,10,,681,702,"3,250,814",29.6,28.3,J.Weaver (5.5),M.Scioscia (80-82),Los Angeles Angels of Anaheim
2009,Los Angeles Angels of Anaheim,AL West,162,97,65,0,0.599,0.568,1st of 4,--,Lost ALCS (4-2),883,761,"3,240,386",29.6,28.6,C.Figgins (7.7),M.Scioscia (97-65),Los Angeles Angels of Anaheim
2008,Los Angeles Angels of Anaheim,AL West,162,100,62,0,0.617,0.542,1st of 4,--,Lost LDS (3-1),765,697,"3,336,747",28.9,27.6,E.Santana (5.0),M.Scioscia (100-62),Los Angeles Angels of Anaheim
2007,Los Angeles Angels of Anaheim,AL West,162,94,68,0,0.58,0.553,1st of 4,--,Lost LDS (3-0),822,731,"3,365,632",28.6,28.4,J.Lackey (6.2),M.Scioscia (94-68),Los Angeles Angels of Anaheim
2006,Los Angeles Angels of Anaheim,AL West,162,89,73,0,0.549,0.521,2nd of 4,4,,766,732,"3,406,790",28.8,27.9,J.Weaver (4.8),M.Scioscia (89-73),Los Angeles Angels of Anaheim
2005,Los Angeles Angels of Anaheim,AL West,162,95,67,0,0.586,0.576,1st of 4,--,Lost ALCS (4-1),761,643,"3,404,686",29.7,28.5,V.Guerrero (5.7),M.Scioscia (95-67),Los Angeles Angels of Anaheim
2004,Anaheim Angels,AL West,162,92,70,0,0.568,0.559,1st of 4,--,Lost LDS (3-0),836,734,"3,375,677",28.9,29,V.Guerrero (5.6),M.Scioscia (92-70),Los Angeles Angels of Anaheim
2003,Anaheim Angels,AL West,162,77,85,0,0.475,0.496,3rd of 4,19,,736,743,"3,061,094",29.1,29,G.Anderson (4.0),M.Scioscia (77-85),Los Angeles Angels of Anaheim
2002,Anaheim Angels,AL West,162,99,63,0,0.611,0.625,2nd of 4,4,Won WS (4-3),851,644,"2,305,547",28.5,30.2,D.Erstad (6.4),M.Scioscia (99-63),Los Angeles Angels of Anaheim
2001,Anaheim Angels,AL West,162,75,87,0,0.463,0.475,3rd of 4,41,,691,730,"2,000,919",28,28.9,T.Glaus (5.2),M.Scioscia (75-87),Los Angeles Angels of Anaheim
2000,Anaheim Angels,AL West,162,82,80,0,0.506,0.497,3rd of 4,9.5,,864,869,"2,066,982",27.7,28.9,D.Erstad (8.3),M.Scioscia (82-80),Los Angeles Angels of Anaheim
1999,Anaheim Angels,AL West,162,70,92,0,0.432,0.432,4th of 4,25,,711,826,"2,253,123",28.8,31.5,R.Velarde (4.2),T.Collins (51-82) and J.Maddon (19-10),Los Angeles Angels of Anaheim
1998,Anaheim Angels,AL West,162,85,77,0,0.525,0.502,2nd of 4,3,,787,783,"2,519,280",28.7,29.8,C.Finley (7.2),T.Collins (85-77),Los Angeles Angels of Anaheim
1997,Anaheim Angels,AL West,162,84,78,0,0.519,0.52,2nd of 4,6,,829,794,"1,767,330",29.7,28.3,T.Salmon (4.9),T.Collins (84-78),Los Angeles Angels of Anaheim
1996,California Angels,AL West,161,70,91,0,0.435,0.404,4th of 4,19.5,,762,943,"1,820,521",29.3,29.1,J.Edmonds (5.0),"M.Lachemann (52-59), J.McNamara (10-18) and J.Maddon (8-14)",Los Angeles Angels of Anaheim
1995,California Angels,AL West,145,78,67,0,0.538,0.563,2nd of 4,1,,801,697,"1,748,680",29,30.7,T.Salmon (6.6),M.Lachemann (78-67),Los Angeles Angels of Anaheim
1994,California Angels,AL West,115,47,68,0,0.409,0.412,4th of 4,5.5,,543,660,"1,512,622",27.8,28.9,C.Finley (3.4),B.Rodgers (16-24) and M.Lachemann (31-44),Los Angeles Angels of Anaheim
1993,California Angels,AL West,162,71,91,0,0.438,0.446,5th of 7,23,,684,770,"2,057,460",27.3,28.8,M.Langston (8.7),B.Rodgers (71-91),Los Angeles Angels of Anaheim
1992,California Angels,AL West,162,72,90,0,0.444,0.433,5th of 7,24,,579,671,"2,065,444",28.1,28.8,J.Abbott (5.8),B.Rodgers (33-40) and J.Wathan (39-50),Los Angeles Angels of Anaheim
1991,California Angels,AL West,162,81,81,0,0.5,0.503,7th of 7,14,,653,649,"2,416,236",30.8,27.9,J.Abbott (7.6),D.Rader (61-63) and B.Rodgers (20-18),Los Angeles Angels of Anaheim
1990,California Angels,AL West,162,80,82,0,0.494,0.49,4th of 7,23,,690,706,"2,555,688",29.8,28.1,C.Finley (7.7),D.Rader (80-82),Los Angeles Angels of Anaheim
1989,California Angels,AL West,162,91,71,0,0.562,0.566,3rd of 7,8,,669,578,"2,647,291",29.8,29.1,B.Blyleven (6.0),D.Rader (91-71),Los Angeles Angels of Anaheim
1988,California Angels,AL West,162,75,87,0,0.463,0.465,4th of 7,29,,714,771,"2,340,925",29.5,27.4,D.Schofield (3.7),C.Rojas (75-79) and M.Stubing (0-8),Los Angeles Angels of Anaheim
1987,California Angels,AL West,162,75,87,0,0.463,0.481,6th of 7,10,,770,803,"2,696,299",29.4,30.8,D.White (5.6),G.Mauch (75-87),Los Angeles Angels of Anaheim
1986,California Angels,AL West,162,92,70,0,0.568,0.563,1st of 7,--,Lost ALCS (4-3),786,684,"2,655,872",31.7,30.3,M.Witt (6.2),G.Mauch (92-70),Los Angeles Angels of Anaheim
1985,California Angels,AL West,162,90,72,0,0.556,0.518,2nd of 7,1,,732,703,"2,567,427",32.1,28.3,G.Pettis (3.8),G.Mauch (90-72),Los Angeles Angels of Anaheim
1984,California Angels,AL West,162,81,81,0,0.5,0.499,2nd of 7,3,,696,697,"2,402,997",31.7,31,M.Witt (4.6),J.McNamara (81-81),Los Angeles Angels of Anaheim
1983,California Angels,AL West,162,70,92,0,0.432,0.465,5th of 7,29,,722,779,"2,555,016",31.4,32.5,B.Grich (4.3),J.McNamara (70-92),Los Angeles Angels of Anaheim
1982,California Angels,AL West,162,93,69,0,0.574,0.588,1st of 7,--,Lost ALCS (3-2),814,670,"2,807,360",32.3,31.8,D.DeCinces (7.6),G.Mauch (93-69),Los Angeles Angels of Anaheim
1981,California Angels,AL West,110,51,59,0,0.464,0.523,5th of 7,13.5,,476,453,"1,441,545",30.5,30,B.Grich (5.4),J.Fregosi (22-25) and G.Mauch (29-34),Los Angeles Angels of Anaheim
1980,California Angels,AL West,160,65,95,0,0.406,0.44,6th of 7,31,,698,797,"2,297,327",29,27,B.Grich (4.1),J.Fregosi (65-95),Los Angeles Angels of Anaheim
1979,California Angels,AL West,162,88,74,0,0.543,0.555,1st of 7,--,Lost ALCS (3-1),866,768,"2,523,575",28.3,27.5,B.Grich (5.9),J.Fregosi (88-74),Los Angeles Angels of Anaheim
1978,California Angels,AL West,162,87,75,0,0.537,0.517,2nd of 7,5,,691,666,"1,755,386",27.8,26.6,B.Grich (3.4),D.Garcia (25-21) and J.Fregosi (62-54),Los Angeles Angels of Anaheim
1977,California Angels,AL West,162,74,88,0,0.457,0.487,5th of 7,28,,675,695,"1,432,633",26.5,27.3,F.Tanana (8.3),N.Sherry (39-42) and D.Garcia (35-46),Los Angeles Angels of Anaheim
1976,California Angels,AL West,162,76,86,0,0.469,0.437,4th of 6,14,,550,631,"1,006,774",26.7,26.2,F.Tanana (7.6),D.Williams (39-57) and N.Sherry (37-29),Los Angeles Angels of Anaheim
1975,California Angels,AL West,161,72,89,0,0.447,0.436,6th of 6,25.5,,628,723,"1,058,163",25.6,26.3,F.Tanana (7.4),D.Williams (72-89),Los Angeles Angels of Anaheim
1974,California Angels,AL West,163,68,94,1,0.42,0.472,6th of 6,22,,618,657,"917,269",27.6,25.6,N.Ryan (5.9),"B.Winkles (30-44), W.Herzog (2-2) and D.Williams (36-48)",Los Angeles Angels of Anaheim
1973,California Angels,AL West,162,79,83,0,0.488,0.48,4th of 6,15,,629,657,"1,058,206",29.7,28.3,N.Ryan (7.8),B.Winkles (79-83),Los Angeles Angels of Anaheim
1972,California Angels,AL West,155,75,80,0,0.484,0.427,5th of 6,18,,454,533,"744,190",29.1,27.5,N.Ryan (6.3),D.Rice (75-80),Los Angeles Angels of Anaheim
1971,California Angels,AL West,162,76,86,0,0.469,0.445,4th of 6,25.5,,511,576,"926,373",27.7,26.4,S.Alomar (5.2),L.Phillips (76-86),Los Angeles Angels of Anaheim
1970,California Angels,AL West,162,86,76,0,0.531,0.501,3rd of 6,12,,631,630,"1,077,741",26.6,26,J.Fregosi (7.7),L.Phillips (86-76),Los Angeles Angels of Anaheim
1969,California Angels,AL West,163,71,91,1,0.438,0.405,3rd of 6,26,,528,652,"758,388",26.1,26.6,A.Messersmith (5.6),B.Rigney (11-28) and L.Phillips (60-63),Los Angeles Angels of Anaheim
1968,California Angels,AL,162,67,95,0,0.414,0.405,8th of 10,36,,498,615,"1,025,956",27.5,26.7,R.Reichardt (4.7),B.Rigney (67-95),Los Angeles Angels of Anaheim
1967,California Angels,AL,161,84,77,0,0.522,0.484,5th of 10,7.5,,567,587,"1,317,713",27.1,28.1,J.Fregosi (5.4),B.Rigney (84-77),Los Angeles Angels of Anaheim
1966,California Angels,AL,162,80,82,0,0.494,0.471,6th of 10,18,,604,643,"1,400,321",26.3,27.9,J.Fregosi (5.5),B.Rigney (80-82),Los Angeles Angels of Anaheim
1965,California Angels,AL,162,75,87,0,0.463,0.465,7th of 10,27,,527,569,"566,727",26.4,25,J.Fregosi (5.2),B.Rigney (75-87),Los Angeles Angels of Anaheim
1964,Los Angeles Angels,AL,162,82,80,0,0.506,0.494,5th of 10,17,,544,551,"760,439",27.3,26.3,D.Chance (8.6),B.Rigney (82-80),Los Angeles Angels of Anaheim
1963,Los Angeles Angels,AL,161,70,91,0,0.435,0.454,9th of 10,34,,597,660,"821,015",27.4,27.9,A.Pearson (4.8),B.Rigney (70-91),Los Angeles Angels of Anaheim
1962,Los Angeles Angels,AL,162,86,76,0,0.531,0.508,3rd of 10,10,,718,706,"1,144,063",27.7,27.3,D.Chance (3.5),B.Rigney (86-76),Los Angeles Angels of Anaheim
1961,Los Angeles Angels,AL,162,70,91,1,0.435,0.476,8th of 10,38.5,,744,784,"603,510",28.2,27.4,K.McBride (4.3),B.Rigney (70-91),Los Angeles Angels of Anaheim
2016,Los Angeles Dodgers,NL West,162,91,71,0,0.562,0.558,1st of 5,--,Lost NLCS (4-2),725,638,"3,703,312",28.9,28.9,C.Seager (6.1),D.Roberts (91-71),Los Angeles Dodgers
2015,Los Angeles Dodgers,NL West,162,92,70,0,0.568,0.552,1st of 5,--,Lost LDS (3-2),667,595,"3,764,815",29.5,28.1,Z.Greinke (9.9),D.Mattingly (92-70),Los Angeles Dodgers
2014,Los Angeles Dodgers,NL West,162,94,68,0,0.58,0.569,1st of 5,--,Lost LDS (3-1),718,617,"3,782,337",29.3,29.9,C.Kershaw (8.0),D.Mattingly (94-68),Los Angeles Dodgers
2013,Los Angeles Dodgers,NL West,162,92,70,0,0.568,0.55,1st of 5,--,Lost NLCS (4-2),649,582,"3,743,527",30.6,28.1,C.Kershaw (8.4),D.Mattingly (92-70),Los Angeles Dodgers
2012,Los Angeles Dodgers,NL West,162,86,76,0,0.531,0.53,2nd of 5,8,,637,597,"3,324,246",30.4,29,C.Kershaw (6.6),D.Mattingly (86-76),Los Angeles Dodgers
2011,Los Angeles Dodgers,NL West,161,82,79,0,0.509,0.523,3rd of 5,11.5,,644,612,"2,935,139",29.8,28.6,M.Kemp (8.2),D.Mattingly (82-79),Los Angeles Dodgers
2010,Los Angeles Dodgers,NL West,162,80,82,0,0.494,0.483,4th of 5,12,,667,692,"3,562,320",30.2,28.1,C.Kershaw (5.1),J.Torre (80-82),Los Angeles Dodgers
2009,Los Angeles Dodgers,NL West,162,95,67,0,0.586,0.61,1st of 5,--,Lost NLCS (4-1),780,611,"3,761,655",29.7,27.8,M.Kemp (4.8),J.Torre (95-67),Los Angeles Dodgers
2008,Los Angeles Dodgers,NL West,162,84,78,0,0.519,0.535,1st of 5,--,Lost NLCS (4-1),700,648,"3,730,553",28.5,29.5,C.Billingsley (4.5),J.Torre (84-78),Los Angeles Dodgers
2007,Los Angeles Dodgers,NL West,162,82,80,0,0.506,0.505,4th of 5,8,,735,727,"3,857,036",29.7,31.1,B.Penny (6.6),G.Little (82-80),Los Angeles Dodgers
2006,Los Angeles Dodgers,NL West,162,88,74,0,0.543,0.54,2nd of 5,--,Lost LDS (3-0),820,751,"3,758,545",29.9,30.4,D.Lowe (4.6),G.Little (88-74),Los Angeles Dodgers
2005,Los Angeles Dodgers,NL West,162,71,91,0,0.438,0.456,4th of 5,11,,685,755,"3,603,646",28.7,28.5,J.Kent (3.7),J.Tracy (71-91),Los Angeles Dodgers
2004,Los Angeles Dodgers,NL West,162,93,69,0,0.574,0.549,1st of 5,--,Lost LDS (3-1),761,684,"3,488,283",28.9,29.5,A.Beltre (9.5),J.Tracy (93-69),Los Angeles Dodgers
2003,Los Angeles Dodgers,NL West,162,85,77,0,0.525,0.515,2nd of 5,15.5,,574,556,"3,138,626",29.9,31.2,K.Brown (4.5),J.Tracy (85-77),Los Angeles Dodgers
2002,Los Angeles Dodgers,NL West,162,92,70,0,0.568,0.547,3rd of 5,6,,713,643,"3,131,255",30,31,S.Green (6.9),J.Tracy (92-70),Los Angeles Dodgers
2001,Los Angeles Dodgers,NL West,162,86,76,0,0.531,0.509,3rd of 5,6,,758,744,"3,017,143",30.2,30.5,S.Green (6.9),J.Tracy (86-76),Los Angeles Dodgers
2000,Los Angeles Dodgers,NL West,162,86,76,0,0.531,0.541,2nd of 5,11,,798,729,"2,880,242",29.6,29.5,K.Brown (6.8),D.Johnson (86-76),Los Angeles Dodgers
1999,Los Angeles Dodgers,NL West,162,77,85,0,0.475,0.503,3rd of 5,23,,793,787,"3,095,346",29.2,28.6,K.Brown (5.5),D.Johnson (77-85),Los Angeles Dodgers
1998,Los Angeles Dodgers,NL West,162,83,79,0,0.512,0.494,3rd of 5,15,,669,678,"3,089,222",28.3,27.6,G.Sheffield (3.4),B.Russell (36-38) and G.Hoffman (47-41),Los Angeles Dodgers
1997,Los Angeles Dodgers,NL West,162,88,74,0,0.543,0.564,2nd of 4,2,,742,645,"3,319,504",29.3,28.8,M.Piazza (8.7),B.Russell (88-74),Los Angeles Dodgers
1996,Los Angeles Dodgers,NL West,162,90,72,0,0.556,0.534,2nd of 4,1,Lost LDS (3-0),703,652,"3,188,454",27.9,28.2,M.Piazza (5.4),T.Lasorda (41-35) and B.Russell (49-37),Los Angeles Dodgers
1995,Los Angeles Dodgers,NL West,144,78,66,0,0.542,0.518,1st of 4,--,Lost LDS (3-0),634,609,"2,766,251",27.4,27.7,M.Piazza (6.2),T.Lasorda (78-66),Los Angeles Dodgers
1994,Los Angeles Dodgers,NL West,114,58,56,0,0.509,0.52,1st of 4,--,,532,509,"2,279,355",28.7,30,K.Gross (4.0),T.Lasorda (58-56),Los Angeles Dodgers
1993,Los Angeles Dodgers,NL West,162,81,81,0,0.5,0.509,4th of 7,23,,675,662,"3,170,393",28.8,29.1,M.Piazza (7.0),T.Lasorda (81-81),Los Angeles Dodgers
1992,Los Angeles Dodgers,NL West,162,63,99,0,0.389,0.432,6th of 6,35,,548,636,"2,473,266",28.4,31.2,B.Butler (4.8),T.Lasorda (63-99),Los Angeles Dodgers
1991,Los Angeles Dodgers,NL West,162,93,69,0,0.574,0.574,2nd of 6,1,,665,565,"3,348,170",30.2,30.2,B.Butler (5.1),T.Lasorda (93-69),Los Angeles Dodgers
1990,Los Angeles Dodgers,NL West,162,86,76,0,0.531,0.528,2nd of 6,5,,728,685,"3,002,396",29.7,28.2,E.Murray (5.1),T.Lasorda (86-76),Los Angeles Dodgers
1989,Los Angeles Dodgers,NL West,160,77,83,0,0.481,0.515,4th of 6,14,,554,536,"2,944,653",29.8,28.5,O.Hershiser (7.3),T.Lasorda (77-83),Los Angeles Dodgers
1988,Los Angeles Dodgers,NL West,162,94,67,1,0.584,0.565,1st of 6,--,Won WS (4-1),628,544,"2,980,262",29,29.2,O.Hershiser (7.1),T.Lasorda (94-67),Los Angeles Dodgers
1987,Los Angeles Dodgers,NL West,162,73,89,0,0.451,0.472,4th of 6,17,,635,675,"2,797,409",28.2,27.9,B.Welch (7.5),T.Lasorda (73-89),Los Angeles Dodgers
1986,Los Angeles Dodgers,NL West,162,73,89,0,0.451,0.472,5th of 6,23,,638,679,"3,023,208",28,27.8,F.Valenzuela (6.2),T.Lasorda (73-89),Los Angeles Dodgers
1985,Los Angeles Dodgers,NL West,162,95,67,0,0.586,0.574,1st of 6,--,Lost NLCS (4-2),682,579,"3,264,593",27.7,28,P.Guerrero (7.9),T.Lasorda (95-67),Los Angeles Dodgers
1984,Los Angeles Dodgers,NL West,162,79,83,0,0.488,0.484,4th of 6,13,,580,600,"3,134,824",26.8,27.5,A.Pena (5.1),T.Lasorda (79-83),Los Angeles Dodgers
1983,Los Angeles Dodgers,NL West,163,91,71,1,0.562,0.533,1st of 6,--,Lost NLCS (3-1),654,609,"3,510,313",28.1,27.1,P.Guerrero (5.5),T.Lasorda (91-71),Los Angeles Dodgers
1982,Los Angeles Dodgers,NL West,162,88,74,0,0.543,0.555,2nd of 6,1,,691,612,"3,608,881",29.2,26.8,P.Guerrero (6.8),T.Lasorda (88-74),Los Angeles Dodgers
1981,Los Angeles Dodgers,NL West,110,63,47,0,0.573,0.606,2nd of 6,4,Won WS (4-2),450,356,"2,381,292",29.3,26.2,F.Valenzuela (5.3),T.Lasorda (63-47),Los Angeles Dodgers
1980,Los Angeles Dodgers,NL West,163,92,71,0,0.564,0.552,2nd of 6,1,,663,591,"3,249,287",30.4,28.2,D.Sutton (5.5),T.Lasorda (92-71),Los Angeles Dodgers
1979,Los Angeles Dodgers,NL West,162,79,83,0,0.488,0.514,3rd of 6,11.5,,739,717,"2,860,954",30.4,28.3,R.Cey (5.1),T.Lasorda (79-83),Los Angeles Dodgers
1978,Los Angeles Dodgers,NL West,162,95,67,0,0.586,0.607,1st of 6,--,Lost WS (4-2),727,573,"3,347,845",30.5,28.7,R.Cey (5.3),T.Lasorda (95-67),Los Angeles Dodgers
1977,Los Angeles Dodgers,NL West,162,98,64,0,0.605,0.625,1st of 6,--,Lost WS (4-2),769,582,"2,955,087",29.2,28.5,R.Smith (6.1),T.Lasorda (98-64),Los Angeles Dodgers
1976,Los Angeles Dodgers,NL West,162,92,70,0,0.568,0.552,2nd of 6,10,,608,543,"2,386,301",27.8,28.3,R.Cey (6.0),W.Alston (90-68) and T.Lasorda (2-2),Los Angeles Dodgers
1975,Los Angeles Dodgers,NL West,162,88,74,0,0.543,0.588,2nd of 6,20,,648,534,"2,539,349",27.4,28.2,A.Messersmith (6.9),W.Alston (88-74),Los Angeles Dodgers
1974,Los Angeles Dodgers,NL West,162,102,60,0,0.63,0.656,1st of 6,--,Lost WS (4-1),798,561,"2,632,474",27.1,28.9,J.Wynn (7.7),W.Alston (102-60),Los Angeles Dodgers
1973,Los Angeles Dodgers,NL West,162,95,66,1,0.59,0.581,2nd of 6,3.5,,675,565,"2,136,192",27,29.9,D.Sutton (5.3),W.Alston (95-66),Los Angeles Dodgers
1972,Los Angeles Dodgers,NL West,155,85,70,0,0.548,0.547,2nd of 6,10.5,,584,527,"1,860,858",28.6,30.3,D.Sutton (6.3),W.Alston (85-70),Los Angeles Dodgers
1971,Los Angeles Dodgers,NL West,162,89,73,0,0.549,0.555,2nd of 6,1,,663,587,"2,064,594",28.7,28.4,D.Allen (5.4),W.Alston (89-73),Los Angeles Dodgers
1970,Los Angeles Dodgers,NL West,161,87,74,0,0.54,0.541,2nd of 6,14.5,,749,684,"1,697,142",27.9,26.7,B.Grabarkewitz (6.5),W.Alston (87-74),Los Angeles Dodgers
1969,Los Angeles Dodgers,NL West,162,85,77,0,0.525,0.563,4th of 6,8,,645,561,"1,784,527",27.4,27.3,C.Osteen (6.7),W.Alston (85-77),Los Angeles Dodgers
1968,Los Angeles Dodgers,NL,162,76,86,0,0.469,0.464,7th of 10,21,,470,509,"1,581,093",27.9,26.9,T.Haller (4.8),W.Alston (76-86),Los Angeles Dodgers
1967,Los Angeles Dodgers,NL,162,73,89,0,0.451,0.438,8th of 10,28.5,,519,595,"1,664,362",27.5,27,D.Drysdale (4.4),W.Alston (73-89),Los Angeles Dodgers
1966,Los Angeles Dodgers,NL,162,95,67,0,0.586,0.596,1st of 10,--,Lost WS (4-0),606,490,"2,617,029",28.3,26.9,S.Koufax (9.8),W.Alston (95-67),Los Angeles Dodgers
1965,Los Angeles Dodgers,NL,162,97,65,0,0.599,0.57,1st of 10,--,Won WS (4-3),608,521,"2,553,577",27.9,27.6,S.Koufax (8.6),W.Alston (97-65),Los Angeles Dodgers
1964,Los Angeles Dodgers,NL,164,80,82,2,0.494,0.532,6th of 10,13,,614,572,"2,228,751",26.9,25.6,D.Drysdale (8.4),W.Alston (80-82),Los Angeles Dodgers
1963,Los Angeles Dodgers,NL,163,99,63,1,0.611,0.569,1st of 10,--,Won WS (4-0),640,550,"2,538,602",27.4,26.5,S.Koufax (9.9),W.Alston (99-63),Los Angeles Dodgers
1962,Los Angeles Dodgers,NL,165,102,63,0,0.618,0.586,2nd of 10,1,,842,697,"2,755,184",27,25.7,M.Wills (6.0),W.Alston (102-63),Los Angeles Dodgers
1961,Los Angeles Dodgers,NL,154,89,65,0,0.578,0.524,2nd of 8,4,,735,697,"1,804,250",27.8,25.8,D.Drysdale (5.9),W.Alston (89-65),Los Angeles Dodgers
1960,Los Angeles Dodgers,NL,154,82,72,0,0.532,0.55,4th of 8,13,,662,593,"2,253,887",27.8,25.3,D.Drysdale (7.1),W.Alston (82-72),Los Angeles Dodgers
1959,Los Angeles Dodgers,NL,156,88,68,0,0.564,0.523,1st of 8,--,Won WS (4-2),705,670,"2,071,045",28.2,25.9,D.Drysdale (6.2),W.Alston (88-68),Los Angeles Dodgers
1958,Los Angeles Dodgers,NL,154,71,83,0,0.461,0.441,7th of 8,21,,668,761,"1,845,556",29,25.2,D.Drysdale (3.7),W.Alston (71-83),Los Angeles Dodgers
1957,Brooklyn Dodgers,NL,154,84,70,0,0.545,0.57,3rd of 8,11,,690,591,"1,028,258",30.1,26.7,D.Drysdale (6.0),W.Alston (84-70),Los Angeles Dodgers
1956,Brooklyn Dodgers,NL,154,93,61,0,0.604,0.582,1st of 8,--,Lost WS (4-3),720,601,"1,213,562",31,28.2,D.Snider (7.6),W.Alston (93-61),Los Angeles Dodgers
1955,Brooklyn Dodgers,NL,154,98,55,1,0.641,0.624,1st of 8,--,Won WS (4-3),857,650,"1,033,589",29.8,26.2,D.Snider (8.6),W.Alston (98-55),Los Angeles Dodgers
1954,Brooklyn Dodgers,NL,154,92,62,0,0.597,0.523,2nd of 8,5,,778,740,"1,020,531",29.6,27.7,D.Snider (8.4),W.Alston (92-62),Los Angeles Dodgers
1953,Brooklyn Dodgers,NL,155,105,49,1,0.682,0.645,1st of 8,--,Lost WS (4-2),955,689,"1,163,419",29,27.3,D.Snider (9.3),C.Dressen (105-49),Los Angeles Dodgers
1952,Brooklyn Dodgers,NL,155,96,57,2,0.627,0.613,1st of 8,--,Lost WS (4-3),775,603,"1,088,704",29.2,27.1,J.Robinson (8.5),C.Dressen (96-57),Los Angeles Dodgers
1951,Brooklyn Dodgers,NL,158,97,60,1,0.618,0.608,2nd of 8,1,,855,672,"1,282,628",28.5,27.2,J.Robinson (9.7),C.Dressen (97-60),Los Angeles Dodgers
1950,Brooklyn Dodgers,NL,155,89,65,1,0.578,0.571,2nd of 8,2,,847,724,"1,185,896",27.6,26.6,J.Robinson (7.5),B.Shotton (89-65),Los Angeles Dodgers
1949,Brooklyn Dodgers,NL,156,97,57,2,0.63,0.634,1st of 8,--,Lost WS (4-1),879,651,"1,633,747",27,26,J.Robinson (9.6),B.Shotton (97-57),Los Angeles Dodgers
1948,Brooklyn Dodgers,NL,155,84,70,1,0.545,0.548,3rd of 8,7.5,,744,669,"1,398,967",26.2,26.2,J.Robinson (5.4),"L.Durocher (35-37), R.Blades (1-0) and B.Shotton (48-33)",Los Angeles Dodgers
1947,Brooklyn Dodgers,NL,155,94,60,1,0.61,0.568,1st of 8,--,Lost WS (4-3),774,667,"1,807,526",27.9,25.9,R.Branca (6.3),C.Sukeforth (2-0) and B.Shotton (92-60),Los Angeles Dodgers
1946,Brooklyn Dodgers,NL,157,96,60,1,0.615,0.594,2nd of 8,2,,701,570,"1,796,824",28.2,27.4,P.Reese (6.0),L.Durocher (96-60),Los Angeles Dodgers
1945,Brooklyn Dodgers,NL,155,87,67,1,0.565,0.543,3rd of 8,11,,795,724,"1,059,220",29.2,28.2,A.Galan (5.4),L.Durocher (87-67),Los Angeles Dodgers
1944,Brooklyn Dodgers,NL,155,63,91,1,0.409,0.415,7th of 8,42,,690,832,"605,905",28.3,28.3,A.Galan (6.0),L.Durocher (63-91),Los Angeles Dodgers
1943,Brooklyn Dodgers,NL,153,81,72,0,0.529,0.527,3rd of 8,23.5,,716,675,"661,739",30.7,30.3,A.Galan (5.4),L.Durocher (81-72),Los Angeles Dodgers
1942,Brooklyn Dodgers,NL,155,104,50,1,0.675,0.664,2nd of 8,2,,742,512,"1,037,765",29.3,31.2,P.Reese (5.7),L.Durocher (104-50),Los Angeles Dodgers
1941,Brooklyn Dodgers,NL,157,100,54,3,0.649,0.642,1st of 8,--,Lost WS (4-1),800,581,"1,214,910",28.3,31.4,W.Wyatt (7.6),L.Durocher (100-54),Los Angeles Dodgers
1940,Brooklyn Dodgers,NL,156,88,65,3,0.575,0.553,2nd of 8,12,,697,621,"975,978",28.4,31.8,D.Camilli (5.0),L.Durocher (88-65),Los Angeles Dodgers
1939,Brooklyn Dodgers,NL,157,84,69,4,0.549,0.543,3rd of 8,12.5,,708,645,"955,668",29.3,30.6,D.Camilli (6.4),L.Durocher (84-69),Los Angeles Dodgers
1938,Brooklyn Dodgers,NL,151,69,80,2,0.463,0.496,7th of 8,18.5,,704,710,"663,087",29.1,30.7,F.Fitzsimmons (4.4),B.Grimes (69-80),Los Angeles Dodgers
1937,Brooklyn Dodgers,NL,155,62,91,2,0.405,0.398,6th of 8,33.5,,616,772,"482,481",29,29.7,V.Mungo (4.6),B.Grimes (62-91),Los Angeles Dodgers
1936,Brooklyn Dodgers,NL,156,67,87,2,0.435,0.442,7th of 8,25,,662,752,"489,618",28.4,28.6,V.Mungo (6.0),C.Stengel (67-87),Los Angeles Dodgers
1935,Brooklyn Dodgers,NL,154,70,83,1,0.458,0.465,5th of 8,29.5,,711,767,"470,517",27.8,29.8,L.Frey (3.3),C.Stengel (70-83),Los Angeles Dodgers
1934,Brooklyn Dodgers,NL,153,71,81,1,0.467,0.472,6th of 8,23.5,,748,795,"434,188",27.8,27.3,V.Mungo (5.2),C.Stengel (71-81),Los Angeles Dodgers
1933,Brooklyn Dodgers,NL,157,65,88,4,0.425,0.446,6th of 8,26.5,,617,695,"526,815",29,29.3,V.Mungo (5.0),M.Carey (65-88),Los Angeles Dodgers
1932,Brooklyn Dodgers,NL,154,81,73,0,0.526,0.503,3rd of 8,9,,752,747,"681,827",29.8,31.4,L.O'Doul (6.3),M.Carey (81-73),Los Angeles Dodgers
